Task,TrialType,Stimuli,CorrectResponse,StimulusType,thisN,thisTrialN,thisRepN,Trialnumb,LDT_key_resp.keys,LDT_key_resp.corr,LDT_key_resp.rt,LDT_key_resp.duration,LDT_prac_trials.thisRepN,LDT_prac_trials.thisTrialN,LDT_prac_trials.thisN,LDT_prac_trials.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,thisRow.t,notes,Intro.started,Intro.stopped,LDT_intro.started,keyboard_LDT.started,LDT_intro.stopped,LDT_prac.started,LDT_prac.stopped,LDT_feedback.started,LDT_feedback.stopped,LDT_instr.started,LDT_instr_key_resp.started,LDT_instr.stopped,LDT_trial.started,LDT_stim_text.started,LDT_key_resp.started,LDT_trial.stopped,LDT_trials.LDT_key_resp.keys,LDT_trials.LDT_key_resp.corr,LDT_trials.LDT_key_resp.rt,LDT_trials.LDT_key_resp.duration,LDT_break.started,LDT_break.stopped,end.started,end.stopped,Participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.011023100000329578,1.197181300000011,,,,,,,,,,,,,,,,,,,,,,,MB25,2025-10-14_20h12.09.478,online_LDT&KRT,,2025.1.1,121.25959618121634,2025-10-14 20h12.22.091457 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,1.1972086000000672,1.2035648000000947,30.458055100000365,,,,,,,,,,,,,,,,,,,,MB25,2025-10-14_20h12.09.478,online_LDT&KRT,,2025.1.1,121.25959618121634,2025-10-14 20h12.22.091457 +0900,
LDT,Practice,lankua,a,nonword,0,0,0,,,,,,0,0,0,9,,,,,30.474306400000387,,,,,,,30.465808500000094,32.13483870000027,32.13882290000038,33.12715210000033,,,,,,,,,,,,,,,,MB25,2025-10-14_20h12.09.478,online_LDT&KRT,,2025.1.1,121.25959618121634,2025-10-14 20h12.22.091457 +0900,
LDT,Practice,concept,l,word,1,1,0,,,,,,0,1,1,0,,,,,33.135281300000315,,,,,,,33.131254400000216,34.1868185000003,34.18684320000011,35.17921290000004,,,,,,,,,,,,,,,,MB25,2025-10-14_20h12.09.478,online_LDT&KRT,,2025.1.1,121.25959618121634,2025-10-14 20h12.22.091457 +0900,
LDT,Practice,baseball,l,word,2,2,0,,,,,,0,2,2,4,,,,,35.18733420000035,,,,,,,35.18193660000043,36.29726440000013,36.297291100000166,37.28964870000027,,,,,,,,,,,,,,,,MB25,2025-10-14_20h12.09.478,online_LDT&KRT,,2025.1.1,121.25959618121634,2025-10-14 20h12.22.091457 +0900,
LDT,Practice,cluerk,a,nonword,3,3,0,,,,,,0,3,3,5,,,,,37.29781410000032,,,,,,,37.29179090000025,39.024998900000355,39.026746900000035,40.01739260000022,,,,,,,,,,,,,,,,MB25,2025-10-14_20h12.09.478,online_LDT&KRT,,2025.1.1,121.25959618121634,2025-10-14 20h12.22.091457 +0900,
LDT,Practice,yami,a,nonword,4,4,0,,,,,,0,4,4,6,,,,,40.025489200000266,,,,,,,40.02005850000023,41.24394930000017,41.244802100000015,42.23624870000003,,,,,,,,,,,,,,,,MB25,2025-10-14_20h12.09.478,online_LDT&KRT,,2025.1.1,121.25959618121634,2025-10-14 20h12.22.091457 +0900,
LDT,Practice,cucumber,l,word,5,5,0,,,,,,0,5,5,1,,,,,42.24439280000024,,,,,,,42.23737560000018,43.63781720000043,43.63784200000009,44.630407800000285,,,,,,,,,,,,,,,,MB25,2025-10-14_20h12.09.478,online_LDT&KRT,,2025.1.1,121.25959618121634,2025-10-14 20h12.22.091457 +0900,
LDT,Practice,format,l,word,6,6,0,,,,,,0,6,6,3,,,,,44.63842700000032,,,,,,,44.63233360000004,45.723250400000325,45.72327600000017,46.71573269999999,,,,,,,,,,,,,,,,MB25,2025-10-14_20h12.09.478,online_LDT&KRT,,2025.1.1,121.25959618121634,2025-10-14 20h12.22.091457 +0900,
LDT,Practice,truck,l,word,7,7,0,,,,,,0,7,7,2,,,,,46.72381910000013,,,,,,,46.71724680000034,47.80031110000027,47.80033600000024,48.792768700000124,,,,,,,,,,,,,,,,MB25,2025-10-14_20h12.09.478,online_LDT&KRT,,2025.1.1,121.25959618121634,2025-10-14 20h12.22.091457 +0900,
LDT,Practice,jeong,a,nonword,8,8,0,,,,,,0,8,8,7,,,,,48.80090270000028,,,,,,,48.79533930000025,49.96088400000008,49.96091010000009,50.95331690000012,,,,,,,,,,,,,,,,MB25,2025-10-14_20h12.09.478,online_LDT&KRT,,2025.1.1,121.25959618121634,2025-10-14 20h12.22.091457 +0900,
